Year,Month,Day,Block,Row,Column,Induc_perc,MaleOpen_perc,FemaleOpen_perc,MonoOpen_perc,SeedHard_perc
2019,Jun,12,5,4,C,0,0,0,0,0
2019,Jun,12,5,4,D,0,0,0,0,0
2019,Jun,12,5,5,A,5,0,0,0,0
2019,Jun,12,5,5,B,70,0,0,0,0
2019,Jun,12,5,5,C,0,0,0,0,0
2019,Jun,12,5,5,D,0,0,0,0,0
2019,Jun,12,6,1,A,0,0,0,0,0
2019,Jun,12,6,1,B,10,0,0,0,0
2019,Jun,12,6,1,C,0,0,0,0,0
2019,Jun,12,6,1,D,0,0,0,0,0
2019,Jun,12,6,2,A,20,0,0,0,0
2019,Jun,12,6,2,B,50,0,0,0,0
2019,Jun,12,6,2,C,20,0,0,0,0
2019,Jun,12,6,2,D,60,0,0,0,0
2019,Jun,12,6,3,A,90,0,0,0,0
2019,Jun,12,6,3,B,5,0,0,0,0
2019,Jun,12,6,3,C,0,0,0,0,0
2019,Jun,12,6,3,D,0,0,0,0,0
2019,Jun,12,6,4,A,0,0,0,0,0
2019,Jun,12,6,4,B,40,0,0,0,0
2019,Jun,12,6,4,C,10,0,0,0,0
2019,Jun,12,6,4,D,0,0,0,0,0
2019,Jun,12,6,5,A,0,0,0,0,0
2019,Jun,12,6,5,B,45,0,0,0,0
2019,Jun,12,6,5,C,80,0,0,0,0
2019,Jun,12,6,5,D,,,,,
2019,Jun,12,7,1,A,80,0,0,0,0
2019,Jun,12,7,1,B,0,0,0,0,0
2019,Jun,12,7,1,C,20,0,0,0,0
2019,Jun,12,7,1,D,0,0,0,0,0
2019,Jun,12,7,2,A,0,0,0,0,0
2019,Jun,12,7,2,B,0,0,0,0,0
2019,Jun,12,7,2,C,0,0,0,0,0
2019,Jun,12,7,2,D,0,0,0,0,0
2019,Jun,12,7,3,A,5,0,0,0,0
2019,Jun,12,7,3,B,0,0,0,0,0
2019,Jun,12,7,3,C,30,0,0,0,0
2019,Jun,12,7,3,D,5,0,0,0,0
2019,Jun,12,7,4,A,0,0,0,0,0
2019,Jun,12,7,4,B,5,0,0,0,0
2019,Jun,12,7,4,C,20,0,0,0,0
2019,Jun,12,7,4,D,0,0,0,0,0
2019,Jun,12,7,5,A,70,0,0,0,0
2019,Jun,12,7,5,B,80,0,0,0,0
2019,Jun,12,7,5,C,0,0,0,0,0
2019,Jun,12,7,5,D,,,,,
2019,Jun,12,8,1,A,0,0,0,0,0
2019,Jun,12,8,1,B,0,0,0,0,0
2019,Jun,12,8,1,C,0,0,0,0,0
2019,Jun,12,8,1,D,0,0,0,0,0
2019,Jun,12,8,2,A,0,0,0,0,0
2019,Jun,12,8,2,B,0,0,0,0,0
2019,Jun,12,8,2,C,0,0,0,0,0
2019,Jun,12,8,2,D,5,0,0,0,0
2019,Jun,12,8,3,A,65,0,0,0,0
2019,Jun,12,8,3,B,0,0,0,0,0
2019,Jun,12,8,3,C,0,0,0,0,0
2019,Jun,12,8,3,D,40,0,0,0,0
2019,Jun,12,8,4,A,5,0,0,0,0
2019,Jun,12,8,4,B,15,0,0,0,0
2019,Jun,12,8,4,C,0,0,0,0,0
2019,Jun,12,8,4,D,75,0,0,0,0
2019,Jun,12,8,5,A,60,0,0,0,0
2019,Jun,12,8,5,B,60,0,0,0,0
2019,Jun,12,8,5,C,5,0,0,0,0
2019,Jun,12,8,5,D,,,,,
2019,Jun,12,9,1,A,0,0,0,0,0
2019,Jun,12,9,1,B,0,0,0,0,0
2019,Jun,12,9,1,C,0,0,0,0,0
2019,Jun,12,9,1,D,0,0,0,0,0
2019,Jun,12,9,2,A,0,0,0,0,0
2019,Jun,12,9,2,B,0,0,0,0,0
2019,Jun,12,9,2,C,0,0,0,0,0
2019,Jun,12,9,2,D,0,0,0,0,0
2019,Jun,12,9,3,A,10,0,0,0,0
2019,Jun,12,9,3,B,0,0,0,0,0
2019,Jun,12,9,3,C,0,0,0,0,0
2019,Jun,12,9,3,D,0,0,0,0,0
2019,Jun,12,9,4,A,0,0,0,0,0
2019,Jun,12,9,4,B,0,0,0,0,0
2019,Jun,12,9,4,C,0,0,0,0,0
2019,Jun,12,9,4,D,0,0,0,0,0
2019,Jun,14,5,1,A,80,0,0,0,0
2019,Jun,14,5,1,B,90,10,0,0,0
2019,Jun,14,5,1,C,90,90,100,0,0
2019,Jun,14,5,1,D,0,0,0,0,0
2019,Jun,14,5,2,A,80,0,0,0,0
2019,Jun,14,5,2,B,100,10,0,0,0
2019,Jun,14,5,2,C,0,0,0,0,0
2019,Jun,14,5,2,D,0,10,0,0,0
2019,Jun,14,5,3,A,90,0,0,0,0
2019,Jun,14,5,3,B,70,0,0,0,0
2019,Jun,14,5,3,C,90,0,0,0,0
2019,Jun,14,5,3,D,0,0,0,0,0
2019,Jun,14,5,4,A,0,0,0,0,0
2019,Jun,14,5,4,B,100,0,0,0,0
2019,Jun,14,5,4,C,0,0,0,0,0
2019,Jun,14,5,4,D,40,0,0,0,0
2019,Jun,14,5,5,A,0,0,0,0,0
2019,Jun,14,5,5,B,100,50,50,0,0
2019,Jun,14,5,5,C,0,0,0,0,0
2019,Jun,14,5,5,D,0,0,0,0,0
2019,Jun,14,6,1,A,100,50,0,0,0
2019,Jun,14,6,1,B,0,0,0,0,0
2019,Jun,14,6,1,C,100,0,0,0,0
2019,Jun,14,6,1,D,0,0,0,0,0
